tender_country,tender_year,tender_mainCpv,tender_estimatedPrice_EUR,lot_bidsCount,tender_procedureType,tender_supplyType,buyer_buyerType,buyer_country,tender_indicator_score_INTEGRITY,tender_indicator_score_ADMINISTRATIVE,tender_indicator_score_TRANSPARENCY
BG,2016,09100000,39702424.0,2.0,OPEN,SUPPLIES,NATIONAL_AUTHORITY,BG,82.2092,43.3333,77.6423
BG,2021,15000000,52346.0,4.0,OPEN,SUPPLIES,OTHER,BG,90.0,46.875,50.0
UK,2015,32235000,442327.0,11.0,OPEN,SUPPLIES,REGIONAL_AUTHORITY,UK,91.6667,38.2353,80.0
RO,2022,15500000,6664735.0,2.0,APPROACHING_BIDDERS,SUPPLIES,NATIONAL_AUTHORITY,ROMANIA,85.9276,37.3333,41.7582
RO,2015,79713000,913624.0,2.0,OPEN,SERVICES,UTILITIES,RO,88.8889,36.6667,81.25
IT,2018,72510000,670930.0,2.0,OPEN,SERVICES,OTHER,IT,90.5717,13.8889,83.3333
ES,2020,15331400,9350373.6,24.0,OPEN,SUPPLIES,REGIONAL_AUTHORITY,ES,100.0,49.1228,50.0
CZ,2022,45000000,2872714.0,2.0,OPEN,WORKS,PUBLIC_BODY,CZ,100.0,30.5556,66.6667
RO,2019,15100000,3969565.0,2.0,APPROACHING_BIDDERS,SUPPLIES,PUBLIC_BODY,ROMANIA,88.7585,36.9231,41.7582
BG,2016,71521000,1738419.0,1.0,OPEN,SERVICES,REGIONAL_AUTHORITY,BG,64.9688,31.1111,76.2055
BG,2016,45233120,61355967.0,1.0,OPEN,WORKS,REGIONAL_AUTHORITY,BG,69.5402,21.9697,74.8295
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,PUBLIC_BODY,IT,78.5496,79.1667,50.0
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,PUBLIC_BODY,IT,78.5496,79.1667,50.0
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,NATIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
RO,2018,39831240,9153127.0,7.0,OPEN,SUPPLIES,OTHER,ROMANIA,99.3468,56.6667,42.691
CZ,2017,45233100,2329273.0,5.0,OPEN,WORKS,REGIONAL_AUTHORITY,CZ,80.0,14.8148,83.3333
SI,2015,15000000,9705.0,1.0,OPEN,SUPPLIES,PUBLIC_BODY,SI,58.4649,35.4717,75.0127
RO,2021,33600000,3773515.0,1.0,APPROACHING_BIDDERS,SUPPLIES,NATIONAL_AUTHORITY,ROMANIA,76.2054,31.6667,42.7099
CZ,2019,77200000,11667138.0,1.0,OPEN,SERVICES,NATIONAL_AUTHORITY,CZ,85.0199,46.9697,67.0194
CZ,2018,45233100,65773653.0,6.0,RESTRICTED,WORKS,PUBLIC_BODY,CZ,90.0,46.9697,77.5045
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,OTHER,IT,78.5496,79.1667,50.0
SI,2016,15100000,1245665.0,3.0,OPEN,SUPPLIES,PUBLIC_BODY,SI,83.1845,38.7097,77.6987
BG,2019,79713000,1801760.0,3.0,NEGOTIATED_WITH_PUBLICATION,SERVICES,UTILITIES,BG,79.1667,28.5714,73.3333
BG,2021,79960000,119205.0,6.0,OPEN,SERVICES,OTHER,BG,90.0,45.8334,50.0
SI,2016,15100000,1245665.0,3.0,OPEN,SUPPLIES,PUBLIC_BODY,SI,83.1845,38.7097,77.6987
RO,2021,33651000,7110450.0,16.0,OPEN,SUPPLIES,OTHER,RO,99.9158,32.8869,50.0
SI,2016,15000000,347376.0,2.0,OPEN,SUPPLIES,PUBLIC_BODY,SI,95.5,30.9091,78.5714
